FILE NAME:  237-219



00:01  00:01	MALE:  male219.
00:03  00:03	FEMALE:  female237.
00:04  00:04	MALE:  What's up?
00:05  00:07	FEMALE:  Not too much.
00:08  00:09	MALE:  Well, what are you up to?
00:09  00:13	FEMALE:  Oh you know, checking out the [horn] seating capacity of this room, just in case we're getting --
00:14  00:15	MALE:  Wow, 169.
00:16  00:16	FEMALE:  [laughter]
00:17  00:18	MALE:  I would figure they would get to 170 or.
00:18  00:20	FEMALE:  You'd think they're very precise, I mean.
00:21  00:23	MALE:  I mean their like, dude you're one over 169 you can not go in there.
00:24  00:30	FEMALE:  The service area will not allow it.  I mean I don't know how they measure sort of capacity issues.
00:31  00:32	MALE:  This doesn't tell you anything about their weight or like how much they ate --
00:33  00:34	FEMALE:  Right, [unintelligible] [laughter].  
00:36  00:37	MALE:  Or anything you know.
00:37  00:39	FEMALE:  There's no way of knowing what those numbers mean.
00:40  00:41	MALE:  Can't be accurate, it can't be accurate.
00:41  00:47	FEMALE:  Right and I also like that they distinguish between lounge and assembly.  So if you're all sprawled out, like.
00:48  00:49	MALE:  Yeah, you can only be in one or the other.
00:50  00:52	FEMALE:  Right, there's never any mixing.
00:53  00:54	MALE:  We'll have to go 80 then you have to go over to the 169.
00:54  00:59	FEMALE:  Right.  Yeah, one number or the other there's no in between, that's just the way.
01:00  01:00	MALE:  I feel like it went on like a Seinfeld episode [laughter].
01:01  01:06	FEMALE:  [laughter] you have to do something with them, right [laughter]?
01:07  01:11	MALE:  So, I don't want to ask you the standard questions but, maybe it's not time for that.
01:12  01:14	FEMALE:  You can ask me a non-standard one if you have a pile of those ready to go.
01:15  01:15	MALE:  What kind of car do you drive?
01:16  01:17	FEMALE:  What kind of car, Honda Civic.
01:17  01:18	MALE:  I'm very shallow.  I like women with nice [unintelligible] cars [laughter].
01:19  01:22	FEMALE:  Well, yeah, the blue Honda Civic is probably not going to meet your needs.
01:23  01:29	MALE:   Well, you won't like my '85 Ford Impala, Chevy Tracker there.
01:30  01:31	FEMALE:  [laughter] so is the P for Penn?
01:33  01:35	MALE:  That's right.  Yeah.  I didn't even go to Penn.
01:36  01:37	FEMALE:  So, you just have a shirt.
01:37  01:38	MALE:  I have a free shirt, yes.
01:38  01:40	FEMALE:  How did you acquire the free shirt?
01:41  01:43	MALE:  Ah, it's an ex-girlfriend's shirt.
01:44  01:44	FEMALE:  But it fits.
01:45  01:48	MALE:  It's perfect.  We have no bad blood either.
01:49  01:49	FEMALE:  That's true --
01:50  01:50	MALE:  Other wise I'd be like --
01:51  01:52	FEMALE:  You ain't going to rip it [unintelligible].
01:52  01:53	MALE:  So you know.
01:54  01:54	FEMALE:  It's true.
01:55  01:56	MALE:  We have no long-term baggage.
01:56  01:56	FEMALE:  That's nice no grudges.
01:57  02:00	MALE:  Yeah.  So, do you like the REI model close to the normal [unintelligible]?
02:01  02:09	FEMALE:  Well, I have to say I do like the finger things but mostly I got it for free when REI opened their big downtown store in Portland. 
02:10  02:11	MALE:  Oh, are you from Portland?
02:11  02:12	FEMALE:  I lived there for a couple of years.
02:12  02:13	MALE:  How did you like Portland?
02:13  02:14	FEMALE:  It's an awesome city to live in.
02:15  02:18	MALE:   A lot of my friends think that Portland is nice.  At least the ones I have in Portland.
02:19  02:25	FEMALE:  So the deal with Portland, I think, is that it's a fabulous city to live in, it's a terrible city to try and find a job in.
02:26  02:26	MALE:  Oh, okay.
02:27  02:28	FEMALE:  So, like people flock there because it's a great city to live in.
02:29  02:30	MALE:  Why is it so fun to live in?  What --
02:31  02:35	FEMALE:  It's a great mix of like cool -- great outdoor stuff right?  Like you're an hour from the coast and an hour from the mountains.
02:36  02:36	MALE:  Okay.
02:37  02:40	FEMALE:  It's got awesome like sort of -- there's a good like sort of intellectual life, like good bookstores, you know --
02:41  02:42	MALE:  Right, right, right [unintelligible].
02:42  02:42	FEMALE:  That's Powell's [phonetic].
02:43  02:44	MALE:  The Powell's, Powell's, my bad.
02:44  02:45	FEMALE:  Powell's which is like huge.
02:46  02:46	MALE:  A huge one, right.
02:47  02:50	FEMALE:  It's amazing and you've got -- you see that sort of the culture they bring a lot of authors to town.  You've got a pool downtown.
02:51  02:51	MALE:  The grunge bands.
02:52  03:01	FEMALE:  The grunge bands.  You've got some music.  You've got good food.  Like there's a lot of good food in that town.  Group pub type movie theaters I think are actually the secret.
03:02  03:02	MALE:  What is it?
03:03  03:04	FEMALE:  Group pub movie theaters.  So this is like a Portland phenomenon.
03:05  03:05	MALE:  Okay.
03:06  03:06	FEMALE:  Is that --
03:07  03:07	MALE:  You can drink at a theater.
