feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10
250.77655347601129,2747.3256274154719,1152.2415583889851,1131.0820407094773,2496.5490739394604,12449,12674,12573,93.284511040150718,225
102.07219310188347,493.8269013551253,270.71594948484375,164.50520639752045,391.7547082532418,11978,12737,12282,327.43481115415256,759
126.71170248989579,587.46950883968157,280.57031297819339,217.01075949760846,460.75780634978577,12359,12625,12449,124.46150676681793,266
127.01784450980037,135.40846783685978,132.25666664215402,3.7298241468630375,8.3906233270594157,12320,12661,12532,151.07834612103306,341
62.319238270979341,131.60126612063479,108.35575382171585,32.553261154180113,69.282027849655449,12488,12940,12686,188.53352192352662,452
109.30254920182026,3043.6134978034656,1124.9126456176009,1357.5038049397647,2934.3109486016456,12296,12758,12584,205.11460211306263,462
322.74964160402465,3077.4241876680721,2149.0889246346119,1291.4762557196682,2754.6745460640477,12103,12548,12399,209.30519980799966,445
228.8923355129788,1500.8168753208586,727.39454904269803,554.45697761358269,1271.9245398078797,11740,12852,12164,490.8550363056965,1112
270.32148418509888,1564.6112284588153,710.90070250760084,603.76849511507737,1294.2897442737165,12366,12614,12502,102.81807018007855,248
306.68952866065234,316.03949117719725,311.05579122027575,3.8419935337344024,9.3499625165449061,12211,12662,12414,186.7696144689732,451
154.04352847314794,2972.8206351933454,1150.4741233898519,1290.472502785364,2818.7771067201975,12152,12728,12451,235.66501649587281,576
311.95101083376755,325.00550170409525,319.86000942118659,5.6764224820549929,13.054490870327697,12555,12700,12607,65.504876832865577,145
324.16914345697154,325.85325296789244,325.05984271227243,0.69096795549805379,1.684109510920905,12350,12818,12543,199.39296766825944,468
321.75794090084554,329.30676486217027,324.57072833131218,3.3685161051898485,7.5488239613247288,12645,12850,12725,89.369395706186182,205
318.93418067590278,332.38709071461267,327.44456931030851,6.043864908932032,13.452910038709888,12021,12537,12324,220.19587240051123,516
320.80080815270975,339.08727819980334,330.22678846482268,7.4761211596402841,18.286470047093587,12156,12530,12363,155.36909459591877,374
314.11277607937643,338.63832462229379,328.38166458305415,10.406700270206828,24.525548542917363,12270,12587,12448,132.52001945198907,317
292.33777591814783,305.30443982580118,300.15116447925101,5.6178729639837801,12.966663907653356,12445,12865,12652,171.516763029157,420
289.55418399733986,307.37369077788702,301.0600771327982,8.1487639228321314,17.819506780547158,12262,12632,12482,159.25102476558476,370
140.37667521582549,305.93786570437288,244.18634540538679,73.843496342647256,165.5611904885474,12104,12675,12399,233.55275397410514,571
212.68319740086872,2383.6672549699215,977.04956138623004,995.87750998231513,2170.9840575690528,12166,12286,12230,49.315312023751808,120
302.57537570922989,325.50159710810647,311.19223382853204,10.18843684959807,22.926221398876578,12108,12534,12257,195.83893609006583,426
293.94886671320927,299.91818872089749,297.10815866563661,2.449447449593058,5.9693220076882199,12380,12532,12439,66.379381002102008,152
284.16630501925187,292.3751244076451,288.79666723241752,3.4327886714686064,8.2088193883932377,12469,12894,12666,174.88472393741733,425
275.60566624738152,286.07649705206012,280.3430474161753,4.332334915370037,10.470830804678599,12531,12652,12578,52.959103718498355,121
265.92933539488837,278.64089466085147,271.37458145386148,5.3468463547037306,12.711559265963103,12240,12461,12346,90.415092152189331,221
70.608064576364981,268.61250812318593,181.34987353342328,82.522294514064328,198.00444354682094,12391,12619,12517,94.788653798273174,228
103.71521298306919,2385.0971472715887,916.51709175497228,1040.4196734476823,2281.3819342885195,12382,12586,12458,90.661764573361111,204
126.73801574305148,1926.7708141256692,770.5095501435402,819.35495401699438,1800.0327983826178,12326,12556,12469,102.27522780332599,230
398.91052101071017,1761.9961429079103,1304.0754483884655,640.0630989855523,1363.0856218972001,12489,12642,12583,67.186308128963304,153
296.72791185892407,1177.6410972832107,690.1727570545994,365.7251456829726,880.91318542428667,12313,12681,12500,150.3093107192262,368
326.81548670016446,555.82249067974476,478.74405672675192,107.43357364934113,229.0070039795803,12226,12745,12541,226.11550637278776,519
277.16942257296216,344.53464225516086,302.28188736860494,30.053955524558539,67.365219682198699,12058,12577,12311,212.04140056968959,519
253.01146731653228,278.72692949296828,264.60909891821967,10.64846783610337,25.715462176436006,12311,12583,12433,112.63313110369535,272
117.41509750505301,245.05368547936556,200.62038229257382,58.880399698340682,127.63858797431254,12008,12780,12522,363.45380265814617,772
165.3426564097831,272.65426072078105,234.13751418569896,48.761447341004114,107.31160431099795,12155,12461,12268,136.74875583427522,306
262.25106382162016,517.49931740394447,351.63108644906561,117.40457756283689,255.24825358232431,12286,12615,12418,141.80816462938782,329
144.80884152013348,248.34737650366557,208.77638857474031,45.65414278035589,103.53853498353209,12118,12828,12536,303.37911742387422,710
106.11800786241157,359.14733009390079,193.42368209322674,117.24047490765693,253.02932223148923,12199,12962,12694,350.41784581648619,763
154.69861445905954,278.93775353325799,223.01440069783101,51.471806028263366,124.23913907419845,12446,12531,12483,35.462029772075304,85
262.4182553412561,367.52328604678871,302.90664146506043,46.176447907723265,105.10503070553261,11999,12629,12412,292.38483012784519,630
259.63999132357418,551.03870951638532,449.85886455939908,134.59634630685738,291.39871819281115,12277,12824,12496,235.93266459357048,547
95.74240888547962,564.07714810864275,260.68558134727658,214.80273959131867,468.33473922316313,12236,13031,12569,337.13202161764463,795
138.81377972000271,355.62560982219748,227.96325343475806,92.607681527634583,216.81183010219476,12453,12731,12586,113.74337587550123,278
178.9199729027564,627.22375073948854,353.80242515373084,195.83411598295442,448.30377783673214,12372,12680,12479,141.78935863534409,308
181.79120037445213,456.37663643037763,342.44038553773407,116.86420636686387,274.58543605592547,12339,12799,12635,209.92114921772148,460
194.06531271787196,339.98431558202719,288.3618092397756,66.777695515828782,145.91900286415523,12016,12430,12256,175.59296366565744,414
134.0047290182801,304.75110074159625,236.84444046543527,73.954127278359465,170.74637172331614,12039,12705,12277,303.06691596998104,666
412.50207187048403,471.76749687551734,442.33890420826447,24.196730426213254,59.265425005033308,12490,12822,12609,150.54641218648229,332
147.12215773201351,454.81917889467911,343.06420117224707,139.0082988739031,307.69702116266558,12199,12903,12589,292.38787024544411,704
220.19168302443617,476.01900511997184,320.20603402932801,111.64532886257507,255.82732209553566,12542,12691,12604,63.089002387280004,149
155.93786293085336,457.11587782663673,290.97319330059457,124.90743179409657,301.17801489578335,12409,12747,12582,138.10382567715735,338
146.32193575548152,216.85518459140442,193.32362408345139,33.235222006715532,70.533248835922905,12237,12620,12374,173.90866057279098,383
217.31519579750511,689.75657836121684,443.01138519325769,193.44682371740583,472.44138256371173,12276,12713,12438,195.0971268083897,437
