FILE NAME:  238-218



00:01  00:01	MALE:  R?
00:04  00:04	FEMALE:  Hi.
00:05  00:05	MALE:  Hi.
00:05  00:06	FEMALE:  Yes. 
00:06  00:06	MALE:  How's it going?
00:06  00:07	FEMALE:  Good, how are you?
00:07  00:08	MALE:  Are we supposed to like wait to even introduce ourselves before we hear the horn? 
00:09  00:10	FEMALE:  I'm not sure.  I think we can cheat.
00:11  00:12	MALE:  Probably, why don't we cheat.
00:13  00:14	FEMALE:  I'm female238.
00:15  00:15	MALE:  female238, how's it going I'm male218.
00:15  00:16	FEMALE:  All right.
00:16  00:18	MALE:  So what do you do around here?
00:19  00:20	FEMALE:  Um, I'm writing my dissertation.
00:21  00:22	MALE:  Nice, that's a pretty good phase to be in.
00:22  00:23	FEMALE:  Yeah, yeah.
00:24  00:25	MALE:  How long does it take you to get to that stage?
00:25  00:26	FEMALE:  This is my fifth year.
00:27  00:28	MALE:  Fifth year, nice.  And what department?
00:29  00:30	FEMALE:  Linguistics.
00:31  00:31	MALE:  Ooo, linguistics.
00:32  00:33	FEMALE:  So I'm writing a page a day.  It's my piece.
00:34  00:34	MALE:  You can actually do that.
00:35  00:35	FEMALE:  Yes.
00:36  00:37	MALE:  Because, that's actually pretty difficult thing to do.
00:38  00:39	FEMALE:  It is.  Some pages are easier than others.
00:41  00:48	MALE:  Oh, okay.  Actually I'm a third year in Slovak language and literature.  So I have sort of a linguistics bias myself too.  I sort of do Slovak linguistics.
00:49  00:50	FEMALE:  Okay.  What languages you work on?
00:51  00:59	MALE:  Russian, Serbia and Serbia-Cretan.  They're sort of a same [horn].  And time to start.
01:00  01:01	FEMALE:  Now we're starting, officially.
01:02  01:03	MALE:  Now we're starting all right.
01:03  01:03	FEMALE:  Hi, I'm female238.
01:04  01:05	MALE:  Hi female238.  How's it going?  male218.
01:05  01:05	FEMALE:  [laughter]
01:06  01:07	MALE:  You like somebody that might study linguistics.  I don't know where that came from.
01:08  01:09	FEMALE:  Yeah, wow you're very perceptive.
01:10  01:13	MALE:  Well thank you.  Comes with me studying Russian.
01:14  01:14	FEMALE:  Right.
01:15  01:24	MALE:  Interesting.  So, wow, you can actually write a page a day, that's pretty cool.  I mean does that [horn] stay on that --
01:25  01:26	FEMALE:  What -- I'm very confused.  But anyway.  
01:26  01:27	MALE:  I think we're starting again.
01:27  01:31	FEMALE:  Okay.  Let's start fresh you know.  So anyway.  Where are you from?
01:32  01:33	MALE:  I'm from Colorado, from Boulder.
01:33  01:33	FEMALE:  No.  Colorado is beautiful.
01:34  01:34	MALE:   Yeah.
01:36  01:38	FEMALE:  I've only been once, I drove through it once, but I loved it and I wanted to go back.
01:39  01:41	MALE:  Nice. Zipping through which side, like upside, bottom side?
01:42  01:45	FEMALE:  We sort of just zipped through, we drove -- we took like two days to drive through.
01:46  01:47	MALE:  Oh nice, that's a good amount of time to spend.
01:47  01:54	FEMALE:  And we went -- I can't remember what the names of the highways were now, but we were not doing the interstate.  So we were doing like the two lane highways all across the country.
01:55  01:57	MALE:  Interesting.  All the way, even through the mountains.
